Sensor,lens(mm),AGL,fov(deg),swath,smallest feature, pixel size, H, V, blur(pixel/10000s @ 262.5feet/s), Resolution
IMX264,8,4500,55.65466558091238,4750.650000000001,3.8812500000000005,0.0034500000000000004,2448,2048,0.013526570048309176,5.013504
IMX304,12,4500,60.97915340507413,5299.200000000001,2.5875000000000004,0.0034500000000000004,4096,3000,0.020289855072463767,12.288
IMX304,16,4500,47.652506335381,3974.4000000000005,1.9406250000000003,0.0034500000000000004,4096,3000,0.027053140096618352,12.288
IMX342,16,4500,69.87822482909003,6287.625000000001,1.9406250000000003,0.0034500000000000004,6480,4870,0.027053140096618352,31.5576
IMX342,20,4500,58.40164945794607,5030.1,1.5525000000000002,0.0034500000000000004,6480,4870,0.033816425120772944,31.5576
IMX342,24,4500,49.94749932931603,4191.750000000001,1.2937500000000002,0.0034500000000000004,6480,4870,0.04057971014492753,31.5576
IMX366,35,4500,54.69497737204824,4654.697142857143,1.1314285714285715,0.0044,8228,5574,0.04640151515151514,45.862872
IMX367,12,4500,65.00242400957575,5733.900000000001,2.5875000000000004,0.0034500000000000004,4432,4446,0.020289855072463767,19.704672
IMX367,16,4500,51.07927429601766,4300.425,1.940625,0.0034500000000000004,4432,4446,0.027053140096618352,19.704672
IMX455,35,4500,54.56616061423219,4641.881142857143,0.9668571428571427,0.00376,9602,6498,0.05429964539007092,62.393796
IMX540,12,4500,62.546200576617096,5466.3,2.055,0.0027400000000000002,5320,4600,0.025547445255474453,24.472
IMX540,16,4500,48.98090237976428,4099.725000000001,1.5412500000000005,0.0027400000000000002,5320,4600,0.034063260340632597,24.472
IMX541,12,4500,54.425059370668954,4627.860000000001,2.055,0.0027400000000000002,4504,4504,0.025547445255474453,20.286016
IMX571,20,4500,61.10840661607688,5312.879999999999,1.6919999999999997,0.00376,6280,4264,0.03102836879432624,26.77792
IMX571,24,4500,52.38822135577929,4427.4,1.41,0.00376,6280,4264,0.03723404255319149,26.77792
Sony BSI,20,4500,61.52221567722619,5356.8,1.116,0.00248,9600,6376,0.047043010752688165,61.2096
Sony BSI,24,4500,52.76282297391643,4463.999999999999,0.9299999999999998,0.00248,9600,6376,0.056451612903225805,61.2096
Cannon 5D mark IV,35,4500,54.45707687090932,4631.04,1.3782857142857143,0.00536,6720,4480,0.03809079601990049,30.1056
SonyILx,35,4500,54.58126244886464,4643.382857142858,0.9771428571428572,0.0038,9504,6336,0.0537280701754386,60.217344
